sample_id,d_path,d_name,batch_idx,batch_name,seq_no,code,spec_name,line_code,lot_id,test_case,fine_code,coarse_code,product_code,product_fine,product_coarse,is_special,tensor_path
B08_0220_425032001,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0220#H88ACS425032001.D,0220#H88ACS425032001.D,8,20250326,220.0,H88,红河（88）,A,425032001,ACS425032001,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0627_B08_0220_425032001.npz
B08_0221_125032008,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0221#HRYBCS125032008.D,0221#HRYBCS125032008.D,8,20250326,221.0,HRY,云烟（软如意）,B,125032008,BCS125032008,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0628_B08_0221_125032008.npz
B08_0222_125032009,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0222#HRYBCS125032009.D,0222#HRYBCS125032009.D,8,20250326,222.0,HRY,云烟（软如意）,B,125032009,BCS125032009,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0629_B08_0222_125032009.npz
B08_0223_125032002,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0223#HYZBCS125032002.D,0223#HYZBCS125032002.D,8,20250326,223.0,HYZ,云烟（紫）,B,125032002,BCS125032002,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0630_B08_0223_125032002.npz
B08_0224_125032005,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0224#HYZBCS125032005.D,0224#HYZBCS125032005.D,8,20250326,224.0,HYZ,云烟（紫）,B,125032005,BCS125032005,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0631_B08_0224_125032005.npz
B08_0225_125032010,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0225#HYZBCS125032010.D,0225#HYZBCS125032010.D,8,20250326,225.0,HYZ,云烟（紫）,B,125032010,BCS125032010,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0632_B08_0225_125032010.npz
B08_0226_125032011,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0226#HYZBCS125032011.D,0226#HYZBCS125032011.D,8,20250326,226.0,HYZ,云烟（紫）,B,125032011,BCS125032011,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0633_B08_0226_125032011.npz
B08_0227_125032003,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0227#HYZCCS125032003.D,0227#HYZCCS125032003.D,8,20250326,227.0,HYZ,云烟（紫）,C,125032003,CCS125032003,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0634_B08_0227_125032003.npz
B08_0228_125032006,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0228#HYZCCS125032006.D,0228#HYZCCS125032006.D,8,20250326,228.0,HYZ,云烟（紫）,C,125032006,CCS125032006,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0635_B08_0228_125032006.npz
B08_0229_225032001,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0229#XCJACS225032001.D,0229#XCJACS225032001.D,8,20250326,229.0,XCJ,云烟（中支小重九）,A,225032001,ACS225032001,XCJ,XCJ,XCJ,XCJ,XCJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/XCJ/0636_B08_0229_225032001.npz
B08_0230_125032001,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0230#YJDACS125032001.D,0230#YJDACS125032001.D,8,20250326,230.0,YJD,红塔山（硬经典）,A,125032001,ACS125032001,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/YJD/0637_B08_0230_125032001.npz
B08_0231_125032004,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0231#YJDACS125032004.D,0231#YJDACS125032004.D,8,20250326,231.0,YJD,红塔山（硬经典）,A,125032004,ACS125032004,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/YJD/0638_B08_0231_125032004.npz
B08_0232_125032102,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0232#H88CCS125032102.D,0232#H88CCS125032102.D,8,20250326,232.0,H88,红河（88）,C,125032102,CCS125032102,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0639_B08_0232_125032102.npz
B08_0233_125032105,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0233#H88CCS125032105.D,0233#H88CCS125032105.D,8,20250326,233.0,H88,红河（88）,C,125032105,CCS125032105,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0640_B08_0233_125032105.npz
B08_0234_125032104,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0234#H99CCS125032104.D,0234#H99CCS125032104.D,8,20250326,234.0,H99,红河（99）,C,125032104,CCS125032104,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0641_B08_0234_125032104.npz
B08_0235_125032109,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0235#H99CCS125032109.D,0235#H99CCS125032109.D,8,20250326,235.0,H99,红河（99）,C,125032109,CCS125032109,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0642_B08_0235_125032109.npz
B08_0236_125032106,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0236#HRYBCS125032106.D,0236#HRYBCS125032106.D,8,20250326,236.0,HRY,云烟（软如意）,B,125032106,BCS125032106,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0643_B08_0236_125032106.npz
B08_0237_125032101,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0237#HYZBCS125032101.D,0237#HYZBCS125032101.D,8,20250326,237.0,HYZ,云烟（紫）,B,125032101,BCS125032101,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0644_B08_0237_125032101.npz
B08_0238_125032103,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0238#HYZBCS125032103.D,0238#HYZBCS125032103.D,8,20250326,238.0,HYZ,云烟（紫）,B,125032103,BCS125032103,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0645_B08_0238_125032103.npz
B08_0239_125032108,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0239#HYZBCS125032108.D,0239#HYZBCS125032108.D,8,20250326,239.0,HYZ,云烟（紫）,B,125032108,BCS125032108,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0646_B08_0239_125032108.npz
B08_0240_125032110,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0240#HYZBCS125032110.D,0240#HYZBCS125032110.D,8,20250326,240.0,HYZ,云烟（紫）,B,125032110,BCS125032110,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0647_B08_0240_125032110.npz
B08_0241_125032111,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0241#HYZBCS125032111.D,0241#HYZBCS125032111.D,8,20250326,241.0,HYZ,云烟（紫）,B,125032111,BCS125032111,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0648_B08_0241_125032111.npz
B08_0242_225032101,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0242#XCJACS225032101.D,0242#XCJACS225032101.D,8,20250326,242.0,XCJ,云烟（中支小重九）,A,225032101,ACS225032101,XCJ,XCJ,XCJ,XCJ,XCJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/XCJ/0649_B08_0242_225032101.npz
B08_0243_125032408,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0243#H88ACS125032408.D,0243#H88ACS125032408.D,8,20250326,243.0,H88,红河（88）,A,125032408,ACS125032408,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0650_B08_0243_125032408.npz
B08_0244_125032411,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0244#H88ACS125032411.D,0244#H88ACS125032411.D,8,20250326,244.0,H88,红河（88）,A,125032411,ACS125032411,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0651_B08_0244_125032411.npz
B08_0245_125032403,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0245#H88CCS125032403.D,0245#H88CCS125032403.D,8,20250326,245.0,H88,红河（88）,C,125032403,CCS125032403,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0652_B08_0245_125032403.npz
B08_0246_125032413,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0246#H88CCS125032413.D,0246#H88CCS125032413.D,8,20250326,246.0,H88,红河（88）,C,125032413,CCS125032413,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0653_B08_0246_125032413.npz
B08_0247_125032406,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0247#H99CCS125032406.D,0247#H99CCS125032406.D,8,20250326,247.0,H99,红河（99）,C,125032406,CCS125032406,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0654_B08_0247_125032406.npz
B08_0248_125032415,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0248#H99CCS125032415.D,0248#H99CCS125032415.D,8,20250326,248.0,H99,红河（99）,C,125032415,CCS125032415,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0655_B08_0248_125032415.npz
B08_0249_125032404,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0249#HRJACS125032404.D,0249#HRJACS125032404.D,8,20250326,249.0,HRJ,红河（软甲）,A,125032404,ACS125032404,HRJ,HRJ,HRJ,HRJ,HRJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRJ/0656_B08_0249_125032404.npz
B08_0250_125032416,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0250#HRJACS125032416.D,0250#HRJACS125032416.D,8,20250326,250.0,HRJ,红河（软甲）,A,125032416,ACS125032416,HRJ,HRJ,HRJ,HRJ,HRJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRJ/0657_B08_0250_125032416.npz
B08_0251_125032405,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0251#HRYBCS125032405.D,0251#HRYBCS125032405.D,8,20250326,251.0,HRY,云烟（软如意）,B,125032405,BCS125032405,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0658_B08_0251_125032405.npz
B08_0252_125032409,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0252#HRYBCS125032409.D,0252#HRYBCS125032409.D,8,20250326,252.0,HRY,云烟（软如意）,B,125032409,BCS125032409,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0659_B08_0252_125032409.npz
B08_0253_125032412,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0253#HRYBCS125032412.D,0253#HRYBCS125032412.D,8,20250326,253.0,HRY,云烟（软如意）,B,125032412,BCS125032412,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0660_B08_0253_125032412.npz
B08_0254_125032414,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0254#HRYBCS125032414.D,0254#HRYBCS125032414.D,8,20250326,254.0,HRY,云烟（软如意）,B,125032414,BCS125032414,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRY/0661_B08_0254_125032414.npz
B08_0255_125032402,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0255#HYZBCS125032402.D,0255#HYZBCS125032402.D,8,20250326,255.0,HYZ,云烟（紫）,B,125032402,BCS125032402,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0662_B08_0255_125032402.npz
B08_0256_125032407,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0256#HYZCCS125032407.D,0256#HYZCCS125032407.D,8,20250326,256.0,HYZ,云烟（紫）,C,125032407,CCS125032407,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0663_B08_0256_125032407.npz
B08_0257_125032410,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0257#HYZCCS125032410.D,0257#HYZCCS125032410.D,8,20250326,257.0,HYZ,云烟（紫）,C,125032410,CCS125032410,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0664_B08_0257_125032410.npz
B08_0258_125032401,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0258#YJDACS125032401.D,0258#YJDACS125032401.D,8,20250326,258.0,YJD,红塔山（硬经典）,A,125032401,ACS125032401,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/YJD/0665_B08_0258_125032401.npz
B08_0259_125032515,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0259#H88CCS125032515.D,0259#H88CCS125032515.D,8,20250326,259.0,H88,红河（88）,C,125032515,CCS125032515,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0666_B08_0259_125032515.npz
B08_0260_125032517,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0260#H88CCS125032517.D,0260#H88CCS125032517.D,8,20250326,260.0,H88,红河（88）,C,125032517,CCS125032517,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H88/0667_B08_0260_125032517.npz
B08_0261_125032503,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0261#H99CCS125032503.D,0261#H99CCS125032503.D,8,20250326,261.0,H99,红河（99）,C,125032503,CCS125032503,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0668_B08_0261_125032503.npz
B08_0262_125032506,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0262#H99CCS125032506.D,0262#H99CCS125032506.D,8,20250326,262.0,H99,红河（99）,C,125032506,CCS125032506,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0669_B08_0262_125032506.npz
B08_0263_125032509,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0263#H99CCS125032509.D,0263#H99CCS125032509.D,8,20250326,263.0,H99,红河（99）,C,125032509,CCS125032509,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0670_B08_0263_125032509.npz
B08_0264_125032512,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0264#H99CCS125032512.D,0264#H99CCS125032512.D,8,20250326,264.0,H99,红河（99）,C,125032512,CCS125032512,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/H99/0671_B08_0264_125032512.npz
B08_0265_125032514,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0265#HRJACS125032514.D,0265#HRJACS125032514.D,8,20250326,265.0,HRJ,红河（软甲）,A,125032514,ACS125032514,HRJ,HRJ,HRJ,HRJ,HRJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HRJ/0672_B08_0265_125032514.npz
B08_0266_125032502,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/0266#HYZBCS125032502.D,0266#HYZBCS125032502.D,8,20250326,266.0,HYZ,云烟（紫）,B,125032502,BCS125032502,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/HYZ/0673_B08_0266_125032502.npz
B08_0000_BLANK,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250326/BLANK.D,BLANK.D,8,20250326,,BLANK,空白样,,,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,True,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250326/BLANK/0674_B08_0000_BLANK.npz
B09_0267_125032505,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0267#HYZBCS125032505.D,0267#HYZBCS125032505.D,9,20250331,267.0,HYZ,云烟（紫）,B,125032505,BCS125032505,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0675_B09_0267_125032505.npz
B09_0268_125032507,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0268#HYZBCS125032507.D,0268#HYZBCS125032507.D,9,20250331,268.0,HYZ,云烟（紫）,B,125032507,BCS125032507,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0676_B09_0268_125032507.npz
B09_0269_125032510,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0269#HYZBCS125032510.D,0269#HYZBCS125032510.D,9,20250331,269.0,HYZ,云烟（紫）,B,125032510,BCS125032510,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0677_B09_0269_125032510.npz
B09_0270_125032513,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0270#HYZBCS125032513.D,0270#HYZBCS125032513.D,9,20250331,270.0,HYZ,云烟（紫）,B,125032513,BCS125032513,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0678_B09_0270_125032513.npz
B09_0271_125032516,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0271#HYZBCS125032516.D,0271#HYZBCS125032516.D,9,20250331,271.0,HYZ,云烟（紫）,B,125032516,BCS125032516,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0679_B09_0271_125032516.npz
B09_0272_125032501,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0272#YJDACS125032501.D,0272#YJDACS125032501.D,9,20250331,272.0,YJD,红塔山（硬经典）,A,125032501,ACS125032501,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/YJD/0680_B09_0272_125032501.npz
B09_0273_125032504,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0273#YJDACS125032504.D,0273#YJDACS125032504.D,9,20250331,273.0,YJD,红塔山（硬经典）,A,125032504,ACS125032504,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/YJD/0681_B09_0273_125032504.npz
B09_0274_125032508,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0274#YJDACS125032508.D,0274#YJDACS125032508.D,9,20250331,274.0,YJD,红塔山（硬经典）,A,125032508,ACS125032508,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/YJD/0682_B09_0274_125032508.npz
B09_0275_125032511,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0275#YJDACS125032511.D,0275#YJDACS125032511.D,9,20250331,275.0,YJD,红塔山（硬经典）,A,125032511,ACS125032511,YJD,YJD,YJD,YJD,YJD,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/YJD/0683_B09_0275_125032511.npz
B09_0276_425032601,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0276#H88ACS425032601.D,0276#H88ACS425032601.D,9,20250331,276.0,H88,红河（88）,A,425032601,ACS425032601,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/H88/0684_B09_0276_425032601.npz
B09_0277_125032607,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0277#H88CCS125032607.D,0277#H88CCS125032607.D,9,20250331,277.0,H88,红河（88）,C,125032607,CCS125032607,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/H88/0685_B09_0277_125032607.npz
B09_0278_125032610,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0278#H88CCS125032610.D,0278#H88CCS125032610.D,9,20250331,278.0,H88,红河（88）,C,125032610,CCS125032610,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/H88/0686_B09_0278_125032610.npz
B09_0279_125032603,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0279#H99CCS125032603.D,0279#H99CCS125032603.D,9,20250331,279.0,H99,红河（99）,C,125032603,CCS125032603,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/H99/0687_B09_0279_125032603.npz
B09_0280_125032606,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0280#H99CCS125032606.D,0280#H99CCS125032606.D,9,20250331,280.0,H99,红河（99）,C,125032606,CCS125032606,H99,H99,H99,H99,H99,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/H99/0688_B09_0280_125032606.npz
B09_0281_125032604,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0281#HRJACS125032604.D,0281#HRJACS125032604.D,9,20250331,281.0,HRJ,红河（软甲）,A,125032604,ACS125032604,HRJ,HRJ,HRJ,HRJ,HRJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HRJ/0689_B09_0281_125032604.npz
B09_0282_125032609,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0282#HRJACS125032609.D,0282#HRJACS125032609.D,9,20250331,282.0,HRJ,红河（软甲）,A,125032609,ACS125032609,HRJ,HRJ,HRJ,HRJ,HRJ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HRJ/0690_B09_0282_125032609.npz
B09_0283_125032605,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0283#HRYBCS125032605.D,0283#HRYBCS125032605.D,9,20250331,283.0,HRY,云烟（软如意）,B,125032605,BCS125032605,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HRY/0691_B09_0283_125032605.npz
B09_0284_125032608,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0284#HRYBCS125032608.D,0284#HRYBCS125032608.D,9,20250331,284.0,HRY,云烟（软如意）,B,125032608,BCS125032608,HRY,HRY,HRY,HRY,HRY,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HRY/0692_B09_0284_125032608.npz
B09_0285_125032601,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0285#HYZBCS125032601.D,0285#HYZBCS125032601.D,9,20250331,285.0,HYZ,云烟（紫）,B,125032601,BCS125032601,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0693_B09_0285_125032601.npz
B09_0286_125032602,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/0286#HYZBCS125032602.D,0286#HYZBCS125032602.D,9,20250331,286.0,HYZ,云烟（紫）,B,125032602,BCS125032602,HYZ,HYZ,HYZ,HYZ,HYZ,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/HYZ/0694_B09_0286_125032602.npz
B09_0000_BLANK,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250331/BLANK.D,BLANK.D,9,20250331,,BLANK,空白样,,,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,True,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250331/BLANK/0695_B09_0000_BLANK.npz
B10_0287_125040203,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250411/0287#H88BCS125040203.D,0287#H88BCS125040203.D,10,20250411,287.0,H88,红河（88）,B,125040203,BCS125040203,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250411/H88/0696_B10_0287_125040203.npz
B10_0288_125040206,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250411/0288#H88BCS125040206.D,0288#H88BCS125040206.D,10,20250411,288.0,H88,红河（88）,B,125040206,BCS125040206,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250411/H88/0697_B10_0288_125040206.npz
B10_0289_125040210,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250411/0289#H88BCS125040210.D,0289#H88BCS125040210.D,10,20250411,289.0,H88,红河（88）,B,125040210,BCS125040210,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250411/H88/0698_B10_0289_125040210.npz
B10_0290_125040214,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250411/0290#H88BCS125040214.D,0290#H88BCS125040214.D,10,20250411,290.0,H88,红河（88）,B,125040214,BCS125040214,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250411/H88/0699_B10_0290_125040214.npz
B10_0291_125040207,/home/ubuntu/sunlong/gcms_consistency_old/dataset/20250411/0291#H88CCS125040207.D,0291#H88CCS125040207.D,10,20250411,291.0,H88,红河（88）,C,125040207,CCS125040207,H88,H88,H88,H88,H88,False,/home/ubuntu/sunlong/gcms_consistency_old/new_prepared_data/tensors/20250411/H88/0700_B10_0291_125040207.npz
